Sl. No.,smiles,Yield,product
Yu_1_10,O=C(N(C1=CC=CC=C1C#N)C2=CC=CC=C2C#N)C(C)(C)OC3=C(Cl)C=CC=C3.C=CC(OCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.CC(=O)[O-].[Ag+].OC(C(F)(F)F)C(F)(F)F,88,O=C(N(C1=CC=CC=C1C#N)C2=CC=CC=C2C#N)C(C)(C)OC3=C(Cl)C=CC(/C=C/C(OCC)=O)=C3
ZH_1_4,CCC(CC)(C#N)C1=CC=CC(C[Si](C(C)C)(C(C)C)OC2=CC([H])=CC(OC)=C2)=C1.C=CC(OCC)=O.Cl[Rh]Cl.Cl[Rh]Cl.C[C]1[C](C)[C](C)[C](C)[C]1C.C[C]2[C](C)[C](C)[C](C)[C]2C.O.FC(F)(F)C(=O)O[Cu]OC(=O)C(F)(F)F.O=[V](=O)O[V](=O)=O.C(CCl)Cl,63,CCC(CC)(C#N)C1=CC=CC(C[Si](C(C)C)(C(C)C)OC2=CC(/C=C/C(OCC)=O)=CC(OC)=C2)=C1
D_2_22,O=S(CC1=CC(F)=CC=C1)(OC2=C(C#N)C=CC=C2)=O.C=CS(=O)(C1=CC=CC=C1)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.C(=O)([O-])[O-].[Ag+].[Ag+].OC(C(F)(F)F)C(F)(F)F.ClCCCl,67,O=S(CC1=CC(F)=CC(/C=C/S(=O)(C2=CC=CC=C2)=O)=C1)(OC3=C(C#N)C=CC=C3)=O
Yu_3_2,O=C(N(C1=C(C#N)C=CC=C1)C2=CC=CC=C2C#N)CC3=C(C)C=CC=C3.C=CC(OCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].O=CNCC(O)=O.CC(=O)[O-].[Ag+].OC(C(F)(F)F)C(F)(F)F,72,O=C(N(C1=C(C#N)C=CC=C1)C2=CC=CC=C2C#N)CC3=C(C)C=CC(/C=C/C(OCC)=O)=C3
D_5_13,O=S(CCC1=CC(C2=C(Cl)C=C(Cl)C=C2)=CC=C1)(OC3=C(C#N)C=CC=C3)=O.C=CC(OCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].C(C(=O)O)NC=O.CC(=O)[O-].[Ag+].C(C(F)(F)F)(C(F)(F)F)O,58,O=S(CCC1=CC(C2=C(Cl)C=C(Cl)C=C2)=CC(/C=C/C(OCC)=O)=C1)(OC3=C(C#N)C=CC=C3)=O
D_9_45,O=C(OC1=C(C#N)C=CC=C1)C(C)C2=CC=C(CC(C)C)C=C2.C=CC(OCCCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.C(=O)([O-])[O-].[Ag+].[Ag+].OC(C(F)(F)F)C(F)(F)F,55,O=C(OC1=C(C#N)C=CC=C1)C(C)C2=CC=C(CC(C)C)C(/C=C/C(OCCCC)=O)=C2
Yu_9_4,O=S(C1=CC(C(CC(C)C)(C#N)CC(C)C)=C(OC)C=C1)(N2CCC3=C2C=C([H])C=C3F)=O.C=CC(OCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.CC(=O)[O-].[Ag+].C(C(F)(F)F)(C(F)(F)F)O,80,O=S(C1=CC(C(CC(C)C)(C#N)CC(C)C)=C(OC)C=C1)(N2CCC3=C2C=C(/C=C/C(OCC)=O)C=C3F)=O
Yu_4_47,O=C(C(F)OC1=CC=CC=C1)N(CCC2)C3=C2C=CC=C3C.CC(=O)OC(=O)C.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.O=C(OI(OC(C)=O)C1=CC=CC=C1)C.OC(C(F)(F)F)C(F)(F)F,52,O=C(C(F)OC1=CC=CC=C1)N(CCC2)C3=C2C=CC(/C=C/C(OCC)=O)=C3C
Yu_7_1,CC(C(C=C1C(C)(C)C)=CC(C(CC(C)C)(CC(C)C)C#N)=C1OCC2=CC=CC=C2)(C)C.C=CC(OCC)=O.CC(C)(C)C(=O)[O-].CC(C)(C)C(=O)[O-].[Pd+2].O=C([O-])C(C)(C)C.[Ag+].ClCCCl,55,CC(C(C=C1C(C)(C)C)=CC(C(CC(C)C)(CC(C)C)C#N)=C1OCC2=CC=CC(/C=C/C(OCC)=O)=C2)(C)C
Yu_9_25,O=S(C1=CC(C(CC(C)C)(C#N)CC(C)C)=C(OC)C=C1)(N2C([C@]([H])(CCC)N(C(OC(C)(C)C)=O)CC3)=C3C4=C2C=C([H])C=C4)=O.C=CC(OCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.CC(=O)[O-].[Ag+].C(C(F)(F)F)(C(F)(F)F)O,58,O=S(C1=CC(C(CC(C)C)(C#N)CC(C)C)=C(OC)C=C1)(N2C([C@]([H])(CCC)N(C(OC(C)(C)C)=O)CC3)=C3C4=C2C=C(/C=C/C(OCC)=O)C=C4)=O
