Sl. No.,smiles,Yield,product
Yu_8_6,O=C(N(C1=CC=CC=C1F)C2=C(C#N)C=CC=C2)CC(C)C3=C(Cl)C=CC=C3.C=CC(OCC)=O.Cl[Rh]Cl.Cl[Rh]Cl.C[C]1[C](C)[C](C)[C](C)[C]1C.C[C]2[C](C)[C](C)[C](C)[C]2C.FC(F)(C(O)=O)F.O.FC(F)(F)C(=O)O[Cu]OC(=O)C(F)(F)F.ClCCCl,76,O=C(N(C1=CC=CC=C1F)C2=C(C#N)C=CC=C2)CC(C)C3=C(Cl)C=CC(/C=C/C(OCC)=O)=C3
D_4_6,CC1=C(C[Si](OC2=C(C#N)C=C(OC)C=C2)(C(C)C)C(C)C)C=CC=C1.C=CC(OC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.C(=O)([O-])[O-].[Ag+].[Ag+].ClCCCl.FC(F)(F)CO,76,CC([Si](CC1=C(C)C=CC(/C=C/C(OC)=O)=C1)(OC2=C(C#N)C=C(OC)C=C2)C(C)C)C
Jin_1_31,O=C(COC1=CC=C(OC)C=C1C#N)OC(C)C2=CC=CC=C2.C=CC(OCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.CC(=O)[O-].[Ag+].OC(C(F)(F)F)C(F)(F)F,76,O=C(COC1=CC=C(OC)C=C1C#N)OC(C)C2=CC=CC(/C=C/C(OCC)=O)=C2
D_8_37,O=C(CC1=CC=CC=C1)OC2=C(C#N)C=CC(OC)=C2.BrC#CC1(O[Si](C)(C)C)C(C(C)C)CC(C)CC1.Cl[Rh].Cl[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2.[O-]S(=O)(=O)[O-].[Ag+].[Ag+].ClCCCl,76,O=C(CC1=CC=CC(C#CC2(O[Si](C)(C)C)C(C(C)C)CC(C)CC2)=C1)OC3=C(C#N)C=CC(OC)=C3
Yu_2_25,O=C(N(C1=CC=CC=C1F)C2=C(C#N)C=CC=C2)CCC3=CC(OC)=CC=C3.OC(CC)C#CC1=CC=CC=C1.Cl[Rh]Cl.Cl[Rh]Cl.C[C]1[C](C)[C](C)[C](C)[C]1C.C[C]2[C](C)[C](C)[C](C)[C]2C.F[Sb-](F)(F)(F)(F)F.[Ag+].CCC(O)=O.[O-]P(=O)([O-])[O-].[Ag+].[Ag+].[Ag+].ClCCCl,67,O=C(N(C1=CC=CC=C1F)C2=C(C#N)C=CC=C2)CCC3=CC(OC)=CC(/C(C4=CC=C(C)C=C4)=C/C(O)CC)=C3
D_5_25,O=C(OC1=C(C#N)C=CC=C1)CCC2=CC=C(OC)C=C2.C=CC(OCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.C(=O)([O-])[O-].[Ag+].[Ag+].C(C(F)(F)F)(C(F)(F)F)O.CC(Cl)Cl,52,O=C(OC1=C(C#N)C=CC=C1)CCC2=CC=C(OC)C(/C=C/C(OCC)=O)=C2
D_3_46,O=C(CC1=CC=CC=C1)OC2=C(C#N)C=CC(OC)=C2.O=C(OCC)/C=C\C.Cl[Rh].Cl[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2.CC(C1=C(C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2)C(C(C)C)=CC(C(C)C)=C1)C.O.FC(F)(F)C(=O)O[Cu]OC(=O)C(F)(F)F.O=[V](=O)O[V](=O)=O.ClCCCl,63,O=C(CC1=CC=CC(/C(C)=C/C(OCC)=O)=C1)OC2=C(C#N)C=CC(OC)=C2
Yu_4_33,O=C(C(F)OC1=C(C#N)C=CC=C1)N(C)C2=C(C)C=CC=C2.CC(=O)OC(=O)C.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.O=C(OI(OC(C)=O)C1=CC=CC=C1)C.OC(C(F)(F)F)C(F)(F)F,65,O=C(C(F)OC1=C(C#N)C=CC=C1)N(C)C2=C(C)C=CC(OC(C)=O)=C2
D_7_25,O=S(CC1=CC(Br)=C(F)C=C1)(OC2=C(C#N)C=CC=C2)=O.CC(OI(OC(C)=O)C1=CC=CC=C1)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].C[C@H](NC(=O)OC(C)(C)C)C(O)=O.OC(C(F)(F)F)C(F)(F)F,57,O=S(CC1=CC(Br)=C(F)C(OC(C)=O)=C1)(OC2=C(C#N)C=CC=C2)=O
D_1_11,O=P(OC1=C(C#N)C=CC=C1)(OCC)CC2=CC=CC=C2.C=CC1=CC=C(OC(C)=O)C=C1.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(N[C@H](C(O)=O)CC1=CC=CC=C1)=O.C(=O)([O-])[O-].[Ag+].[Ag+].OC(C(F)(F)F)C(F)(F)F,56,O=P(OC1=C(C#N)C=CC=C1)(OCC)CC2=CC=CC(/C=C/C3=CC=C(OC(C)=O)C=C3)=C2
Yu_2_27,O=C(N(C1=CC=CC=C1F)C2=C(C#N)C=CC=C2)CCC3=CC(OC)=CC=C3.CC(O)C#CC1=CC=C(OC)C=C1.Cl[Rh]Cl.Cl[Rh]Cl.C[C]1[C](C)[C](C)[C](C)[C]1C.C[C]2[C](C)[C](C)[C](C)[C]2C.F[Sb-](F)(F)(F)(F)F.[Ag+].CCC(O)=O.[O-]P(=O)([O-])[O-].[Ag+].[Ag+].[Ag+].ClCCCl,80,O=C(N(C1=CC=CC=C1F)C2=C(C#N)C=CC=C2)CCC3=CC(OC)=CC(/C(C4=CC=C(OC)C=C4)=C/C(O)C)=C3
Li_1_20,O=C(C1=C(C#N)C=CC=C1)N(C)CCC2=CC(C)=CC=C2.O=C(/C=C\C)C.CC(O[Pd]OC(C)=O)=O.CC(=O)NCC(=O)O.CC(=O)[O-].[Ag+].OC(C(F)(F)F)C(F)(F)F.ClCCCl,56,O=C(C1=C(C#N)C=CC=C1)N(C)CCC2=CC(C)=CC(/C(C)=C/C(C)=O)=C2
Yu_9_10,O=S(C1=CC(C(CC(C)C)(C#N)CC(C)C)=C(OC)C=C1)(N2C(C3CCCC3)CC4=C2C=C([H])C=C4)=O.C=CC(OCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.CC(=O)[O-].[Ag+].C(C(F)(F)F)(C(F)(F)F)O,83,O=S(C1=CC(C(CC(C)C)(C#N)CC(C)C)=C(OC)C=C1)(N2C(C3CCCC3)CC4=C2C=C(/C=C/C(OCC)=O)C=C4)=O
D_9_37,O=C(OC1=C(C#N)C=CC=C1)CC2=CC=C(F)C=C2.C=CC(C)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.C(=O)([O-])[O-].[Ag+].[Ag+].OC(C(F)(F)F)C(F)(F)F,71,O=C(OC1=C(C#N)C=CC=C1)CC2=CC=C(F)C(/C=C/C(C)=O)=C2
D_3_27,O=S(CC1=CC=CC=C1)(OC2=C(C#N)C=CC(OC)=C2)=O.C=CC(OCC1=CC(Cl)=C(Cl)C=C1)=O.Cl[Rh].Cl[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2.CC(C1=C(C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2)C(C(C)C)=CC(C(C)C)=C1)C.O.FC(F)(F)C(=O)O[Cu]OC(=O)C(F)(F)F.O=[V](=O)O[V](=O)=O.ClCCCl,54,O=S(CC1=CC=CC(/C=C/C(OCC2=CC(Cl)=C(Cl)C=C2)=O)=C1)(OC3=C(C#N)C=CC(OC)=C3)=O
Yu_6_17,O=C(N(C1=CC=CC=C1C#N)C2=C(C#N)C=CC=C2)C(C)(C)OC3=CC(C)=CC=C3.O=C(C1=CC=C(B2OC(C)(C)C(C)(C)O2)C=C1)OC.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.F[P-](F)(F)(F)(F)F.CCCC[N+](CCCC)(CCCC)CCCC.C(=O)([O-])[O-].[Ag+].[Ag+].OC(C(F)(F)F)C(F)(F)F,53,O=C(N(C1=CC=CC=C1C#N)C2=C(C#N)C=CC=C2)C(C)(C)OC3=CC(C)=CC(C4=CC=C(C(OC)=O)C=C4)=C3
Yu_9_25,O=S(C1=CC(C(CC(C)C)(C#N)CC(C)C)=C(OC)C=C1)(N2C([C@]([H])(CCC)N(C(OC(C)(C)C)=O)CC3)=C3C4=C2C=C([H])C=C4)=O.C=CC(OCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.CC(=O)[O-].[Ag+].C(C(F)(F)F)(C(F)(F)F)O,58,O=S(C1=CC(C(CC(C)C)(C#N)CC(C)C)=C(OC)C=C1)(N2C([C@]([H])(CCC)N(C(OC(C)(C)C)=O)CC3)=C3C4=C2C=C(/C=C/C(OCC)=O)C=C4)=O
