Sl. No.,smiles,Yield,product
Yu_1_8,O=C(N(C1=CC=CC=C1C#N)C2=CC=CC=C2C#N)C(C)(C)OC3=CC=C(F)C=C3.C=CC(OCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.CC(=O)[O-].[Ag+].OC(C(F)(F)F)C(F)(F)F,90,O=C(N(C1=CC=CC=C1C#N)C2=CC=CC=C2C#N)C(C)(C)OC3=CC=C(F)C(/C=C/C(OCC)=O)=C3
D_3_45,O=C(CC1=CC=CC=C1)OC2=C(C#N)C=CC(OC)=C2.C=CC(OCC1=CC(Cl)=C(Cl)C=C1)=O.Cl[Rh].Cl[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2.CC(C1=C(C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2)C(C(C)C)=CC(C(C)C)=C1)C.O.FC(F)(F)C(=O)O[Cu]OC(=O)C(F)(F)F.O=[V](=O)O[V](=O)=O.ClCCCl,58,O=C(CC1=CC=CC(/C=C/C(OCC2=CC(Cl)=C(Cl)C=C2)=O)=C1)OC3=C(C#N)C=CC(OC)=C3
D_9_13,O=C(OC1=C(C#N)C=C(OC)C=C1)CC2=CC(Cl)=CC=C2.C=CC(OCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.C(=O)([O-])[O-].[Ag+].[Ag+].OC(C(F)(F)F)C(F)(F)F,61,O=C(OC1=C(C#N)C=C(OC)C=C1)CC2=CC(Cl)=CC(/C=C/C(OCC)=O)=C2
ZH_1_13,CCC(CC)(C#N)C1=CC=CC(C[Si](C(C)C)(C(C)C)OC2=C(C)C([H])=CC(C)=C2)=C1.C=CC(OCC)=O.Cl[Rh]Cl.Cl[Rh]Cl.C[C]1[C](C)[C](C)[C](C)[C]1C.C[C]2[C](C)[C](C)[C](C)[C]2C.O.FC(F)(F)C(=O)O[Cu]OC(=O)C(F)(F)F.O=[V](=O)O[V](=O)=O.C(CCl)Cl,58,CCC(CC)(C#N)C1=CC=CC(C[Si](C(C)C)(C(C)C)OC2=C(C)C(/C=C/C(OCC)=O)=CC(C)=C2)=C1
Yu_4_46,O=C(C(F)OC1=CC=CC=C1)N(CCC2)C3=C2C(F)=CC=C3.CC(=O)OC(=O)C.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.O=C(OI(OC(C)=O)C1=CC=CC=C1)C.OC(C(F)(F)F)C(F)(F)F,53,O=C(C(F)OC1=CC=CC=C1)N(CCC2)C3=C2C(F)=CC(/C=C/C(OCC)=O)=C3
Yu_2_4,O=C(N(C1=CC=CC=C1F)C2=C(C#N)C=CC=C2)CC(C)C3=C(OC)C=CC=C3.C1(C#CC2=CC=CC=C2)=CC=CC=C1.Cl[Rh]Cl.Cl[Rh]Cl.C[C]1[C](C)[C](C)[C](C)[C]1C.C[C]2[C](C)[C](C)[C](C)[C]2C.F[Sb-](F)(F)(F)(F)F.[Ag+].CCC(O)=O.[O-]P(=O)([O-])[O-].[Ag+].[Ag+].[Ag+].ClCCCl,83,O=C(N(C1=CC=CC=C1F)C2=C(C#N)C=CC=C2)CC(C)C3=C(OC)C=CC(/C(C4=CC=CC=C4)=C/C5=CC=CC=C5)=C3
D_2_17,O=S(CC1=C(C)C=CC=C1)(OC2=C(C#N)C=CC=C2)=O.C=CC(OC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.C(=O)([O-])[O-].[Ag+].[Ag+].OC(C(F)(F)F)C(F)(F)F.ClCCCl,82,O=S(CC1=C(C)C=CC(/C=C/C(OC)=O)=C1)(OC2=C(C#N)C=CC=C2)=O
Yu_1_4,O=C(N(C1=CC=CC=C1C#N)C2=CC=CC=C2C#N)C(C)(C)OC3=CC=C(C)C=C3.C=CC(OCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.CC(=O)[O-].[Ag+].OC(C(F)(F)F)C(F)(F)F,72,O=C(N(C1=CC=CC=C1C#N)C2=CC=CC=C2C#N)C(C)(C)OC3=CC=C(C)C(/C=C/C(OCC)=O)=C3
D_2_9,O=S(CC1=CC=CC=C1)(OC2=C(C#N)C=CC=C2)=O.C=CC(CC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.C(=O)([O-])[O-].[Ag+].[Ag+].OC(C(F)(F)F)C(F)(F)F.ClCCCl,74,O=S(CC1=CC=CC(/C=C/C(CC)=O)=C1)(OC2=C(C#N)C=CC=C2)=O
Li_3_30,O=C(N(C1=CC=CC=C1C(O)=O)C)CCC2=C(C)C=CC=C2.C=CC1=C(F)C(F)=C(F)C(F)=C1F.CC(=O)[O-].CC(=O)[O-].[Pd+2].O=C(O)C(NC(=O)C)CC=1C=CC=CC1.CC(C)(C)C(=O)[O-].[Ag+].C(C(F)(F)F)(C(F)(F)F)O,79,O=C(N(C1=CC=CC=C1C(O)=O)C)CCC2=C(C)C=CC(/C=C/C3=C(F)C(F)=C(F)C(F)=C3F)=C2
